n_noise,expectation_avg
1,0.9870365262031465
4,0.9317624807357711
7,0.9159698963165209
10,0.8567477047443329
13,0.7975255131721449
16,0.7856810748577073
19,0.746199613809582
22,0.7185625910758943
25,0.6948737144470191
28,0.6830292761325815
31,0.5882737696170807
34,0.5961700618267057
37,0.5566886007785804
40,0.6080145001411433
43,0.5527404546737679
46,0.5606367468833929
49,0.5132589936256425
52,0.41850348711013946
55,0.46982938647270384
58,0.45403680205345326
